title,year,quality,folder_path,file_path,size_bytes,container,original_path,fallback_mp4_path,has_mp4_fallback
12 Angry Men,1957,BluRay,/media/tushita/TUSHITA_W11_DATA/movies/12 Angry Men (1957) [BluRay] [1080p] [YTS.AM],/media/tushita/TUSHITA_W11_DATA/movies/12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]/12.Angry.Men.1957.1080p.BluRay.x264-[YTS.AM].mp4,1632610944,mp4,/media/tushita/TUSHITA_W11_DATA/movies/12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]/12.Angry.Men.1957.1080p.BluRay.x264-[YTS.AM].mp4,,False
A Clockwork Orange,1971,2160p,/media/tushita/TUSHITA_W11_DATA/movies/A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/A.Clockwork.Orange.1971.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,7076143828,mkv,/media/tushita/TUSHITA_W11_DATA/movies/A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/A.Clockwork.Orange.1971.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
A Close Shave,1995,1080p,/media/tushita/TUSHITA_W11_DATA/movies/A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]/A.Close.Shave.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,621936484,mp4,/media/tushita/TUSHITA_W11_DATA/movies/A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]/A.Close.Shave.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,False
A Matter Of Loaf And Death,2008,1080p,/media/tushita/TUSHITA_W11_DATA/movies/A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]/A.Matter.Of.Loaf.And.Death.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,581164678,mp4,/media/tushita/TUSHITA_W11_DATA/movies/A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]/A.Matter.Of.Loaf.And.Death.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,False
A Minecraft Movie,2025,2160p,/media/tushita/TUSHITA_W11_DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,4843593011,mkv,/media/tushita/TUSHITA_W11_DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
A Minecraft Movie,2025,2160p,/media/tushita/TUSHITA_W11_DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX]_transcoded.mp4,19398704,mp4,/media/tushita/TUSHITA_W11_DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX]_transcoded.mp4,,False
A Sloth Story,2024,1080p,/media/tushita/TUSHITA_W11_DATA/movies/A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/A.Sloth.Story.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,1701590406,mp4,/media/tushita/TUSHITA_W11_DATA/movies/A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/A.Sloth.Story.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
Ace Ventura Pet Detective,1994,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Ace Ventura Pet Detective (1994) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Ace Ventura Pet Detective (1994) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Ace.Ventura.Pet.Detective.1994.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,4147630814,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Ace Ventura Pet Detective (1994) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Ace.Ventura.Pet.Detective.1994.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Akira,1988,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Akira (1988) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Akira (1988) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Akira.1988.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,6029690240,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Akira (1988) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Akira.1988.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Alien,1979,DC,/media/tushita/TUSHITA_W11_DATA/movies/Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.1979.DC.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,5844587964,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.1979.DC.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Alien Covenant,2017,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.Covenant.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,5844516897,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Alien Covenant (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.Covenant.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
