name,year,quality,path,relative_path,folder,category,directory
Despicable Me 4,2024,2160p,/media/tushita/DATA/movies/Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,root,uncategorized,
Nosferatu,2024,1080p,/media/tushita/DATA/movies/Nosferatu 2024 1080p WEB-DL HEVC x265 5.1 BONE.mkv,Nosferatu 2024 1080p WEB-DL HEVC x265 5.1 BONE.mkv,root,uncategorized,
The Last Airbender,2010,2160p,/media/tushita/DATA/movies/The.Last.Airbender.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The.Last.Airbender.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,root,uncategorized,
12 Angry Men,1957,1080p,/media/tushita/DATA/movies/12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]/12.Angry.Men.1957.1080p.BluRay.x264-[YTS.AM].mp4,12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]/12.Angry.Men.1957.1080p.BluRay.x264-[YTS.AM].mp4,12 Angry Men (1957) [BluRay] [1080p] [YTS.AM],12 Angry Men (1957) [BluRay] [1080p] [YTS.AM],12 Angry Men (1957) [BluRay] [1080p] [YTS.AM]
A Clockwork Orange,1971,2160p,/media/tushita/DATA/movies/A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/A.Clockwork.Orange.1971.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/A.Clockwork.Orange.1971.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX],A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX],A Clockwork Orange (1971) [2160p] [4K] [BluRay] [5.1] [YTS.MX]
A Close Shave,1995,1080p,/media/tushita/DATA/movies/A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]/A.Close.Shave.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]/A.Close.Shave.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX],A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX],A Close Shave (1995) [1080p] [BluRay] [5.1] [YTS.MX]
A Matter Of Loaf And Death,2008,1080p,/media/tushita/DATA/movies/A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]/A.Matter.Of.Loaf.And.Death.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]/A.Matter.Of.Loaf.And.Death.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX],A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX],A Matter Of Loaf And Death (2008) [1080p] [BluRay] [5.1] [YTS.MX]
A Minecraft Movie,2025,2160p,/media/tushita/DATA/movies/A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/A.Minecraft.Movie.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],A Minecraft Movie (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]
A Sloth Story,2024,1080p,/media/tushita/DATA/movies/A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/A.Sloth.Story.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/A.Sloth.Story.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX],A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX],A Sloth Story (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
Alien,1979,2160p,/media/tushita/DATA/movies/Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.1979.DC.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Alien.1979.DC.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX],Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX],Alien (1979) [DC] [2160p] [4K] [BluRay] [5.1] [YTS.MX]
